SKU,Stock Location,Stock available level at location,Stock level at location,Stock value at location,Category,ItemTitle,Purchase Price,Due Stock Value,Due,Is Variation Parent,Is Archived
006VJ7,Default,0,0,0.00,ENT-SSD-NVME-U.2/U.3/PCIe,006VJ7 Dell 480-GB 12G 2.5 MLC SAS RI SSD,0,0,0,FALSE,FALSE
006VJ7-LH,Default,7,7,46.22,Default,006VJ7 Dell 480-GB 12G 2.5 MLC SAS RI SSD - 80-90%,6.603384,0,0,FALSE,FALSE
00AE914,Default,3,3,0.03,ENT-NIC-SFP+,Lenovo LSI SAS 9300-8e PCI-e 3.0 x8 12Gb/s SAS Host Bus Adapter Card 00AE914-HP,0.01,0,0,FALSE,FALSE
00AJ090,Default,2,2,2.00,ENT-HDD-2.5,"Lenovo 1TB SAS2 HDD 7.2K 6Gbps 2.5"" with Caddy 00AJ090 00AJ087 00AJ086",1,0,0,FALSE,FALSE
00AJ150,Default,4,4,4.00,ENT-HDD-2.5,"Lenovo 1.2TB SAS2 HDD 10K 6Gbps 2.5"" with Caddy 00AJ150 00AJ147 00AJ146",1,0,0,FALSE,FALSE
00AR400,Default,3,3,33.00,ENT-HDD-2.5,"IBM 1.2TB 10K SAS 6Gbps 2.5"" HDD 00AR327 00AR400 ST1200MM0007",11,0,0,FALSE,FALSE
00JY855-LP,Default,1,1,0.01,ENT-NIC-SFP+,Lenovo / Intel X520-DA2 Dual SFP+ 10GbE Network Adapter 49Y7962 00JY855 Low Profile,0.01,0,0,FALSE,FALSE
00RX892-HP,Default,0,0,0.00,ENT-NIC-RJ45,Lenovo / Broadcom BCM5719 Quad Port RJ-45 1GBase-T High Profile 00RX892,0.01,0,0,FALSE,FALSE
00WG701,Default,5,5,15.00,ENT-HDD-2.5,"Lenovo 1.2TB SAS3 HDD 10K 12Gbps 2.5"" with Caddy 00WG701 00WG700 00WG704",3,0,0,FALSE,FALSE
012GYY,Default,1,1,4.00,ENT-HDD-3.5,"Dell Enterprise 4TB MG03SCA400 012GYY 3.5"" SAS HDD Hard Disk Drive",4,0,0,FALSE,FALSE
01DC192,Default,4,4,8.00,ENT-HDD-2.5,"Lenovo 2.5"" Hard Drive 01DC192 600GB 15K 12Gbps SAS",2,0,0,FALSE,FALSE
01M0D-NPE,Default,0,0,0.00,ENT-HDD-2.5,"Dell 1.2TB SAS3 HDD 10K 12Gbps 2.5"" with 14Gen+ PowerEdge Caddy 01M0D",3,0,0,FALSE,FALSE
01MVTT,Default,1,1,3.00,ENT-HDD-3.5,"Dell Enterprise 4TB MG04SCA40ENY 01MVTT ENTERPRISE 3.5"" SAS HDD Hard Disk Drive",3,0,0,FALSE,FALSE
01-SB16105-XX00C002,Default,74,74,0.74,ENT-Caddies,"SuperMicro 2.5"" Hot Swap Caddy SAS/SATA Hard Disk Drive Tray - 01-SB16105-XX00C002",0.01,0,0,FALSE,FALSE
01-SB16105-XX00C002-4pcs,Default,18,18,0.00,ENT-Caddies,"4x SuperMicro 2.5"" Hot Swap Caddy SAS/SATA Hard Disk Drive Tray - 01-SB16105-XX00C002",0.04,0,0,TRUE,FALSE
03T8759-HP,Default,3,3,2.56,ENT-NIC-RJ45,Lenovo / Intel I350-T2 Dual Port RJ-45 1GBase-T High Profile 03T8759,0.85237,0,0,FALSE,FALSE
06F-97D-1AC,Default,20,20,0.20,ENT-Switches Modules,Cisco FAN-T1 V1 C3850-FAN-T1 Fan Module for Cisco Catalyst 3850 Series Set of 2,0.01,0,0,FALSE,FALSE
07GVN-CO,Default,8,8,80.00,ENT-HDD-3.5,"Dell 8TB SAS3 HDD 7.2K 12Gbps 4Kn 3.5"" with Compellent Caddy 07GVN",10,0,0,FALSE,FALSE
0B26011,Default,1,1,5.00,ENT-HDD-2.5,"HGST 0B26011 Ultrastar 300GB 2.5"" C10K900 HUC109030CSS600 SAS Hard Drive",5,0,0,FALSE,FALSE
0B26312,Default,2,2,1.00,Default,HGST 2TB SAS 7200 RPM (HUA723020ALS640) HDD (0B26312),0.5,0,0,FALSE,FALSE
0B26925,Default,1,1,0.50,Default,"HGST HUS724020ALS641 3.5"" 2TB SAS Hard Drive - 0B26925",0.5,0,0,FALSE,FALSE
0B27416 50-60%,Default,2,2,1.60,ENT-SSD-SAS,"HGST HITACHI 100GB 2.5"" 6Gb/s EMC SAS SSD HUSSL4010BSS600 0B27416 50-60%",0.8,0,0,FALSE,FALSE
0B32072 80-90%,Default,3,3,5.40,ENT-SSD-SAS,HGST Ultrastar SSD 200GB SSD SAS 12Gbps SSD HUSMH8020BSS204 0B32072 80-90%,1.8,0,0,FALSE,FALSE
0B32110,Default,1,1,4.00,ENT-SSD-SAS,"HGST HUSMM1640ASS200 SSD 400GB SAS 2.5"" 0B32110",4,0,0,FALSE,FALSE
0B32110 70-80%,Default,1,1,2.00,ENT-SSD-SAS,"HGST HUSMM4040ASS600 SSD 400GB SAS 2.5"" 0B26587 70-80%",2,0,0,FALSE,FALSE
0B32110 80-90%,Default,8,8,25.60,ENT-SSD-SAS,"HGST HUSMM1640ASS204 SSD 400GB SAS 2.5"" 0B32172 80-90%",3.2,0,0,FALSE,FALSE
0B32112,Default,4,4,16.51,ENT-SSD-SAS,Lenovo 0B32112-LENOVO-RFB 400GB 12G 2.5INCH MLC SAS SSD,4.127115,0,0,FALSE,FALSE
0B32112-F,Default,1,1,0.83,Default,Lenovo 0B32112-LENOVO-RFB 400GB 12G 2.5INCH MLC SAS SSD - FAULTY,0.825423,0,0,FALSE,FALSE
0B32172,Default,0,0,0.00,ENT-SSD-SAS,"HGST HUSMM1640ASS204 SSD 400GB SAS 2.5"" 0B32172 80-90%",0,0,0,FALSE,FALSE
0B32174,Default,0,0,0.00,ENT-SSD-SAS,HGST 0B32174 1.6TB Multi-Level Cell SAS 12Gb/s 2.5-Inch SSD,0,0,0,FALSE,FALSE
0B32206,Default,2,2,32.00,ENT-SSD-SAS,HGST 1.6TB SSD 2.5 SAS 12G HUSMR1616ASS200 0B32206,16,0,0,FALSE,FALSE
0B35075-HUSMM3280ASS204,Default,15,15,90.00,ENT-SSD-SAS,"HGST HUSMM3280ASS204 P/N: 0B35075 2.5"" 800GB SAS 12Gbps SSD drive Solid State",6,0,0,FALSE,FALSE
0F27001,Default,4,4,2.00,Default,"Hitachi EMC 3TB 12G 7.2K SAS 3.5"" HUS726040ALS210 005050331 118000196-02 0F27001",0.5,0,0,FALSE,FALSE
0F27396,Default,1,1,5.00,Default,Netapp X378A 10TB SAS Hard Drive 3.5'' DS460C NSE 108-00597 SP-378A 0F27396 12G,5,0,0,FALSE,FALSE
0FCGN-HP,Default,0,0,0.00,ENT-NIC-RJ45,Dell / Broadcom 5720 Dual Port 1Gbps High Profile 0FCGN,0.009508,0,0,FALSE,FALSE
0JR1HP,Default,1,1,38.40,ENT-SSD-SAS,Dell 0JR1HP 3.84TB 12Gb/s SAS 2.5in Samsung PM1633a MZ-ILS3T8B SSD,38.4,0,0,FALSE,FALSE
0T4M4,Default,2,2,1.29,ENT-2.5 SAS / U.2 / U.3 SSD / PCIe SSD,Dell / Innodisk 64GB SATADOM-ML 3SE Flash Module 0T4M4,0.64677725,0,0,FALSE,FALSE
0WRRF-NPE,Default,0,0,0.00,ENT-HDD-2.5,"Dell 1.8TB SAS3 HDD 10K 12Gbps 2.5"" with 14Gen+ PowerEdge Caddy 0WRRF",3,0,0,FALSE,FALSE
0XYT17,Default,0,0,0.00,ENT-NIC-SFP+,Dell 0XYT17 XYT17 Intel X520-DA2 Ethernet Network Adapter Card - High Profile,0,0,0,FALSE,FALSE
100-652-065,Default,0,0,0.00,ENT-Switches,Brocade/Dell EMC DS-300B 8GB 24-Active Ports SAN Switch + 24x8G SW Transcievers,25,0,0,FALSE,FALSE
100-652-066,Default,3,3,60.00,ENT-Switches,Brocade / EMC DS-300B 8GB 8-Active Ports SAN Switch + 8x 8G SW Transceivers,20,0,0,FALSE,FALSE
100-A3D-2C9,Default,0,0,0.00,Default,HA21.2TBSAS,0,0,0,FALSE,FALSE
10-2144-01,Default,0,0,0.00,Default,Cisco SFP-GE-L Gigabit SFP Transceiver Module Cisco 10-2144-01,0,0,0,FALSE,FALSE
10-2566-02,Default,16,16,1.60,ENT-Switches Modules,Cisco FET-10G 10-2566-02 CLASS 1 10GBASE Fibre Optic SFP 10G Transceiver Module,0.1,0,0,FALSE,FALSE
1030G2-UF,Default,0,0,0.00,Laptops Faulty,1030G2-UF,184.75,0,0,FALSE,FALSE
1030G2-UF,Sharjah Warehouse1,35,35,"6,466.25",Laptops Faulty,1030G2-UF,184.75,0,0,FALSE,FALSE
1030G3-UF,Default,5,5,862.93,Laptops Faulty,1030G3-UF,172.5861538,0,0,FALSE,FALSE
1030G3-UF,Sharjah Warehouse1,15,15,"2,580.76",Laptops Faulty,1030G3-UF,172.5861538,0,0,FALSE,FALSE
1030G4-UF,Default,0,0,0.00,Laptops Faulty,1030G4-UF,171.84,0,0,FALSE,FALSE
1030G4-UF,Sharjah Warehouse1,2,2,343.68,Laptops Faulty,1030G4-UF,171.84,0,0,FALSE,FALSE
1040g3-UF,Default,0,0,0.00,Laptops Faulty,1040g3-UF,71.185,0,0,FALSE,FALSE
1040g3-UF,Sharjah Warehouse1,3,3,213.56,Laptops Faulty,1040g3-UF,71.185,0,0,FALSE,FALSE
1040g6-UF,Default,0,0,0.00,Laptops Faulty,1040g6-UF,172.1919,0,0,FALSE,FALSE
1040G7-UF,Default,0,0,0.00,Laptops Faulty,1040G7-UF,0,0,0,FALSE,FALSE
1040G8-UF,Default,0,0,0.00,Laptops Faulty,1040G8-UF,0,0,0,FALSE,FALSE
105-575-014-00,Default,8,8,0.08,ENT-Switches-PSU,Mellanox SX6506 PSU 105-575-014-00,0.01,0,0,FALSE,FALSE
105-575-015-00,Default,16,16,0.16,ENT-Switches Modules,Mellanox SX6506 Fan 105-575-015-00,0.01,0,0,FALSE,FALSE
10N16,Default,0,0,0.00,Components,SC4020 TYPE A CONTROLLER,0,0,0,FALSE,FALSE
"10TB 3.5"" SATA HDD",Default,0,0,0.00,HDD Trade,"10TB 3.5"" SATA HDD",45,0,0,FALSE,FALSE
11.1x7.5 Modification Tray,Default,0,0,0.00,Default,11.1x7.5 Modification Tray,0,0,0,FALSE,FALSE
11.1x7.5 Modification Tray,UK-Reballing,2,2,0.00,Default,11.1x7.5 Modification Tray,0,0,0,FALSE,FALSE
11.1x9.0 Modification Tray,Default,0,0,0.00,Default,11.1x9.0 Modification Tray,0,0,0,FALSE,FALSE
11.1x9.0 Modification Tray,UK-Reballing,2,2,0.00,Default,11.1x9.0 Modification Tray,0,0,0,FALSE,FALSE
11.1x9.4 Modification Tray,Default,0,0,0.00,Default,11.1x9.4 Modification Tray,0,0,0,FALSE,FALSE
11.1x9.4 Modification Tray,UK-Reballing,2,2,0.00,Default,11.1x9.4 Modification Tray,0,0,0,FALSE,FALSE
111-01287+B1,Default,0,0,0.00,ENT-Switches,NetApp FAS2040 FAS2220 Controller Module 111-01287+B1 / 111-00846+D1,9.5,0,0,FALSE,FALSE
118000213-02,Default,6,6,0.00,ENT-HDD-2.5,Toshiba EMC-Frame 900GB - FAULTY,0.1,0,0,FALSE,FALSE
120GBMSATA,Default,0,0,0.00,Trade SSD/SSHD USED,120GBMSATA,4,0,0,FALSE,FALSE
128GBMSATA,Default,0,0,0.00,Trade SSD/SSHD USED,128GB MLC SATA 6.0 Gbps mSATA Internal Solid State Drive SSD Laptop PC Desktop,1.631567453,0,0,FALSE,FALSE
13.0x8.0 Modification Tray,Default,0,0,0.00,Default,13.0x8.0 Modification Tray,0,0,0,FALSE,FALSE
13.0x8.0 Modification Tray,UK-Reballing,2,2,0.00,Default,13.0x8.0 Modification Tray,0,0,0,FALSE,FALSE
13-7306-UF,Default,0,0,0.00,Laptops Faulty,13-7306-UF,0,0,0,FALSE,FALSE
13C-9E5-085,Default,0,0,0.00,Default,511777-001,0,0,0,FALSE,FALSE
165T0,Default,1,1,0.15,ENT-NIC-RJ45,165T0 Dell Broadcom 57800S 2x 1GB RJ45 2x 10Gb SFP+ Quad Port Daughter Card,0.15,0,0,FALSE,FALSE
16GB-2Rx4-PC4-2133P-R,Default,0,0,0.00,ENT-RAM-D4,16GB-2Rx4-PC4-2133P-R for builds,8.523696,0,0,FALSE,FALSE
16GB-2Rx4-PC4-2400T-R-HP-809081-081,Default,80,80,545.52,ENT-RAM-D4,16GB-2Rx4-PC4-2400T-R HP Smart Memory 809081-081,6.818957,0,0,FALSE,FALSE
16GBMSATA,Default,0,0,0.00,Trade SSD/SSHD USED,16GB mSATA SSD,0.05,0,0,FALSE,FALSE
16GB-PC4-2Rx4-R-ECC,Default,92,92,312.22,ENT-RAM-D4,16GB DDR4 ECC Registered DIMM,3.393652,0,0,FALSE,FALSE
1FE200-031 - ST900MM0168,Default,3,3,2.55,ENT-HDD-2.5,"Seagate 900GB SAS 10K 2.5""  ST900MM0168 118000210-02 1FE200-031",0.85,0,0,FALSE,FALSE
1FF200-175,Default,20,20,26.95,ENT-HDD-2.5,"Seagate 1.2TB 10.K 12Gbps 128MB 2.5"" SAS HDD ST1200MM0088",1.3475,0,0,FALSE,FALSE
1FF201-002,Default,15,15,44.70,ENT-HDD-2.5,"Seagate 1.2TB 10.K 12Gbps 128MB 2.5"" SAS HDD ST1200MM0018",2.98,0,0,FALSE,FALSE
1FF202-031,Default,2,2,5.38,ENT-HDD-2.5,"Seagate 1.2TB 10.K 12Gbps 128MB 2.5"" SAS HDD ST1200MM0008",2.69,0,0,FALSE,FALSE
1NFN7-CO,Default,0,0,0.00,ENT-SSD-SAS,"Dell 1.92TB SAS RI SSD 12Gbps 2.5"" with Compellent Caddy 1NFN7",30,0,0,FALSE,FALSE
1P8D1-HP,Default,1,1,0.01,ENT-NIC-RJ45,Dell / Intel Pro 1000PT Dual Port 1Gbps High Profile 1P8D1,0.01,0,0,FALSE,FALSE
1T8KW,Default,0,0,0.00,ENT-HDD-2.5,"Dell 1.2TB SAS3 HDD 10K 12Gbps 2.5"" with PowerEdge Caddy 1T8KW",3,0,0,FALSE,FALSE
1T8KW-EQ,Default,3,3,9.00,ENT-HDD-2.5,"Dell 1.2TB SAS3 HDD 10K 12Gbps 2.5"" with EqualLogic Caddy 1T8KW",3,0,0,FALSE,FALSE
1TBHDD,Default,-2,0,0.00,Gaming PC - Storage,1TB HDD,8.27176994,0,0,FALSE,FALSE
1TBHDD,Gaming PC & Laptops,41,56,452.91,Gaming PC - Storage,1TB HDD,8.27176994,74.24007288,8,FALSE,FALSE
1TBHDD,UK Shop,5,5,44.89,Gaming PC - Storage,1TB HDD,8.27176994,0,0,FALSE,FALSE
1TBHDD-UF,Default,0,0,0.00,Gaming PC - FAULTIES,1TBHDD-UF,0,0,0,FALSE,FALSE
1TBSSDM2-ADATA,Default,0,0,0.00,Gaming PC - Misc,ADATA 1 TERABYTE SOLID STATE DRIVE,0,0,0,FALSE,FALSE
1TBSSDM2-ADATA,Gaming PC & Laptops,2,2,0.00,Gaming PC - Misc,ADATA 1 TERABYTE SOLID STATE DRIVE,0,0,0,FALSE,FALSE
1V4204-881,Default,1,1,0.50,ENT-HDD-3.5,"Seagate Enterprise V5 Hard Drive 2TB 7.2K SAS 3.5"" HDD ST2000NM0045",0.5,0,0,FALSE,FALSE
1VD200-175,Default,2,2,4.00,ENT-HDD-2.5,"Cisco 2TB SAS3 HDD 7.2K 12Gbps 2.5"" with Caddy 1VD200-175 UCS-HD2T7K12G",2,0,0,FALSE,FALSE
1XF230-150,Default,3,3,6.00,ENT-HDD-2.5,"Dell Exos 10E2400 600GB 2.5"" Hard Drive 10K RPM 12Gbps 1XF230-150",2,0,0,FALSE,FALSE
1XH230-150,Default,3,3,33.00,ENT-HDD-2.5,"Dell Exos 10E2400 1.2TB 2.5"" 10K 12Gbps SAS Hard Drive 1XH230-150 ST1200MM0099",11,0,0,FALSE,FALSE
1XJ203-004,Default,2,2,23.00,ENT-HDD-2.5,"Seagate 1.8TB SAS 10K 12Gbps 2.5"" Hard Drive 1XJ203-004 ST1800MM0129",11.5,0,0,FALSE,FALSE
1XK203-006,Default,3,3,42.00,ENT-HDD-2.5,"Seagate 2.4TB SAS 10K 12Gbps 2.5"" Hard Drive 1XK203-006 ST2400MM0129",14,0,0,FALSE,FALSE
1XZ201-150,Default,5,5,57.50,ENT-HDD-2.5,"Dell 1.8TB 2.5"" 10K 12Gbps SAS Hard Drive 1XZ201-150 ST1800MM0168",11.5,0,0,FALSE,FALSE
1XZ201-150 60-70%,Default,1,1,11.50,ENT-HDD-2.5,"Dell 1.8TB 2.5"" 10K 12Gbps SAS Hard Drive 1XZ201-150 ST1800MM0168 60-70%",11.5,0,0,FALSE,FALSE
2.5-1.92T-SATA-SSD,Default,0,0,0.00,Trade SSD/SSHD USED,1.92TB 2.5 SATA SOLID STATE DRIVE SSD,35.10829636,0,0,FALSE,FALSE
2.5-100-SATA-SSD,Default,0,0,0.00,Trade SSD/SSHD USED,100GB 2.5 SATA SOLID STATE DRIVE SSD,0.5,0,0,FALSE,FALSE
2.5-115-SATA-SSD,Default,0,0,0.00,Trade SSD/SSHD USED,115GB 2.5 SATA SOLID STATE DRIVE SSD,2.304324,0,0,FALSE,FALSE
2.5-120-SATA-SSD,Default,0,0,0.00,Trade SSD/SSHD USED,120GB 2.5 SATA SOLID STATE DRIVE SSD,2.528483384,0,0,FALSE,FALSE
2.5-120-SATA-SSD,Sharjah,97,97,187.21,Trade SSD/SSHD USED,120GB 2.5 SATA SOLID STATE DRIVE SSD,2.528483384,0,0,FALSE,FALSE
2.5-128-SATA-SSD,Default,0,0,0.00,Trade SSD/SSHD USED,128GB 2.5 SATA SOLID STATE DRIVE SSD,2.932817681,0,0,FALSE,FALSE
2.5-150-SATA-SSD,Default,0,0,0.00,SSDs Shelf,2.5-150-SATA-SSD,3.25,0,0,FALSE,FALSE
2.5-160-SATA-SSD,Default,0,0,0.00,Trade SSD/SSHD USED,160GB 2.5 SATA SOLID STATE DRIVE SSD,2.75,0,0,FALSE,FALSE
2.5-160-SATA-SSD,Sharjah,1,1,4.68,Trade SSD/SSHD USED,160GB 2.5 SATA SOLID STATE DRIVE SSD,2.75,0,0,FALSE,FALSE
2.5-16-SATA-SSD,Default,0,0,0.00,Trade SSD/SSHD USED,16GB 2.5 SATA SOLID STATE DRIVE SSD,0.002083333333,0,0,FALSE,FALSE
2.5-180-SATA-SSD,Default,0,0,0.00,Trade SSD/SSHD USED,180GB 2.5 SATA SOLID STATE DRIVE SSD,3,0,0,FALSE,FALSE
2.5-1T-SATA-SSD,Default,0,0,0.00,Trade SSD/SSHD USED,1TB 2.5 SATA SOLID STATE DRIVE SSD,20.17191087,0,0,FALSE,FALSE
2.5-200-SATA-SSD,Default,0,0,0.00,Trade SSD/SSHD USED,200GB 2.5 SATA SOLID STATE DRIVE SSD,3.25,0,0,FALSE,FALSE
2.5-200-SATA-SSD,Sharjah,44,44,169.40,Trade SSD/SSHD USED,200GB 2.5 SATA SOLID STATE DRIVE SSD,3.25,0,0,FALSE,FALSE
2.5-20-SATA-SSD,Default,0,0,0.00,Trade SSD/SSHD USED,20GB 2.5 SATA SOLID STATE DRIVE SSD,0.192209625,0,0,FALSE,FALSE
2.5-240-SATA-SSD,Default,0,0,0.00,Trade SSD/SSHD USED,240GB 2.5 SATA SOLID STATE DRIVE SSD,6.173663654,0,0,FALSE,FALSE
2.5-24-SATA-SSD,Default,0,0,0.00,Trade SSD/SSHD USED,24GB 2.5 SATA SOLID STATE DRIVE SSD,0,0,0,FALSE,FALSE
2.5-250-SATA-SSD,Default,0,0,0.00,Trade SSD/SSHD USED,250GB 2.5 SATA SOLID STATE DRIVE SSD,6.248369071,0,0,FALSE,FALSE
2.5-256-SATA-SSD,Default,0,0,0.00,Trade SSD/SSHD USED,256GB 2.5 SATA SOLID STATE DRIVE SSD,6.483070924,0,0,FALSE,FALSE
2.5-275-SATA-SSD,Default,0,0,0.00,Trade SSD/SSHD USED,275GB 2.5 SATA SOLID STATE DRIVE SSD,6.650188157,0,0,FALSE,FALSE
2.5-2T-SATA-SSD,Default,0,0,0.00,Trade SSD/SSHD USED,2TB 2.5 SATA SOLID STATE DRIVE SSD,45.807175,0,0,FALSE,FALSE
