ItemNumber,ItemTitle,ChangeSource,Location,StockChangeDateTime,ChangeQTY,ChangeValue
"256GBMSATA","256GB MLC SATA 6Gb/s mSATA Internal Solid State Drive SSD Laptop PC Desktop","Imported from file","Default","15/05/2025 00:00:17","0","-7.105427357601E-15"
"CMK16GX4M2D3000C16","CORSAIR VENGEANCE LPX 16GB (2 x 8GB) DDR4 3000MHz Memory RAM CMK16GX4M2D3000C16","Imported from file","Default","15/05/2025 00:00:17","0","-8.88178419700125E-15"
"1TBHDD","1TB HDD","Imported from file","Gaming PC & Laptops","15/05/2025 00:00:17","0","-1.98951966012828E-13"
"CMK16GX4M2B3000C15","CORSAIR VENGEANCE LPX 16GB (2 x 8GB) DDR4 3000MHz Memory RAM CMK16GX4M2B3000C15","Imported from file","Default","15/05/2025 00:00:17","0","-8.88178419700125E-15"
"CMK16GX4M2K4600C19","CORSAIR VENGEANCE LPX 16GB (2 x 8GB) DDR4 4600MHz Memory RAM CMK16GX4M2K4600C19","Imported from file","Default","15/05/2025 00:00:17","0","-8.88178419700125E-15"
"2.5-120-SATA-SSD","120GB 2.5 SATA SOLID STATE DRIVE SSD","Imported from file","Sharjah","15/05/2025 00:00:17","0","-9.37916411203332E-13"
"BLS4G4D240FSB.8FBD2","MICRON BALLISTIX 4GB (1 x 4GB) DDR4 DRAM 2400MHZ Memory Gaming RAM","Imported from file","Default","15/05/2025 00:00:17","0","-2.22044604925031E-16"
"CMW32GX4M4C3200C16W","Corsair VENGEANCE RGB 32GB (4 x 8GB) DDR4 3200MHz Memory RAM CMW32GX4M4C3200C16W","Imported from file","Default","15/05/2025 00:00:17","0","-1.77635683940025E-14"
"CMK16GX4M2B3333C16","CORSAIR VENGEANCE LPX 16GB (2 x 8GB) DDR4 3333MHz Memory RAM CMK16GX4M2B3333C16","Imported from file","Default","15/05/2025 00:00:17","0","-8.88178419700125E-15"
"CMK16GX4M2D3000C16W","CORSAIR VENGEANCE LPX 16GB (2 x 8GB) DDR4 3000MHz Memory RAM CMK16GX4M2D3000C16W","Imported from file","Default","15/05/2025 00:00:17","0","-8.88178419700125E-15"
"CMK16GX4M2B3200C16","CORSAIR VENGEANCE LPX 16GB (2 x 8GB) DDR4 3200MHz Memory RAM CMK16GX4M2B3200C16","Imported from file","Default","15/05/2025 00:00:17","0","-8.88178419700125E-15"
"CMK16GX4M2B3000C15B","CORSAIR VENGEANCE LPX 16GB (2 x 8GB) DDR4 3000MHz Memory RAM CMK16GX4M2B3000C15B","Imported from file","Default","15/05/2025 00:00:17","0","-8.88178419700125E-15"
"CMK32GX4M2A2666C16","Corsair VENGEANCE LPX 32GB (2x16GB) DDR4 2666MHz RAM CMK32GX4M2A2666C16","Imported from file","Default","15/05/2025 00:00:17","0","-4.9737991503207E-14"
"CMH32GX4M4E3200C16","Corsair VENGEANCE RGB 32GB (4 x 8GB) DDR4 3200MHz Memory RAM CMH32GX4M4E3200C16","Imported from file","Default","15/05/2025 00:00:17","0","-8.88178419700125E-15"
"2TBHDD","2TB HDD","Imported from file","Gaming PC & Laptops","15/05/2025 00:00:17","0","-5.00222085975111E-12"
"CMK16GX4M2Z3600C18","CORSAIR VENGEANCE LPX 16GB (2 x 8GB) DDR4 3600MHz Memory RAM CMK16GX4M2Z3600C18","Imported from file","Default","15/05/2025 00:00:17","0","-8.88178419700125E-15"
"CMR16GX4M2C3000C15","Corsair VENGEANCE RGB 16GB (2 x 8GB) DDR4 3000MHz Memory RAM CMR16GX4M2C3000C15","Imported from file","Default","15/05/2025 00:00:17","0","-8.88178419700125E-15"
"CMK16GX4M4A2666C16","CORSAIR VENGEANCE LPX 16GB (4 x 4GB) DDR4 DRAM 2666MHz C16 Memory RAM","Imported from file","Default","15/05/2025 00:00:17","0","-8.88178419700125E-16"
"CMK32GX4M2Z3600C18","Corsair VENGEANCE LPX 32GB (2x16GB) DDR4 3600MHz RAM CMK32GX4M2Z3600C18","Imported from file","Default","15/05/2025 00:00:17","0","-1.77635683940025E-14"
"CMW16GX4M2A2666C16","Corsair VENGEANCE RGB 16GB (2 x 8GB) DDR4 2666MHz Memory RAM CMW16GX4M2A2666C16","Imported from file","Default","15/05/2025 00:00:17","0","-8.88178419700125E-15"
"CMU16GX4M2C3200C16","Corsair VENGEANCE LED 16GB (2x8GB) DDR4 3200MHz RAM CMU16GX4M2C3200C16","Imported from file","Default","15/05/2025 00:00:17","0","-8.88178419700125E-15"
"CMK32GX4M2A2133C13","CORSAIR VENGEANCE 32GB (2 x16GB) DDR4 2133MHz Memory RAM CMK32GX4M2A2133C13","Imported from file","Default","15/05/2025 00:00:17","0","-8.88178419700125E-15"
"CM4GX16GE2133C13K8","Corsair VENGEANCE LPX 16GB (1x16GB) DDR4 2133MHz RAM CM4GX16GE2133C13K8","Imported from file","Default","15/05/2025 00:00:17","0","-2.48689957516035E-14"
"CMW16GX4M2C3600C16W","Corsair VENGEANCE RGB 16GB (2 x 8GB) DDR4 3600MHz Memory RAM CMW16GX4M2C3600C16W","Imported from file","Default","15/05/2025 00:00:17","0","-8.88178419700125E-15"
"CMW32GX4M2A2666C16","CORSAIR VENGEANCE RGB 32GB (2 x16GB) DDR4 2666MHz Memory RAM CMW32GX4M2A2666C16","Imported from file","Default","15/05/2025 00:00:17","0","-8.88178419700125E-15"
