SKU,Location,StockLevel,StockValue,ChangeSource,PurchasePrice
AMD-A6-3500,Default,0.0,-0.6,"{'PO PO-4583-3 modified, unitcost readjusted UserName: umarhussain1996@icloud.com': 1, 'Imported from file': 1}",0.0
AMD-A8-3870,Default,0.0,-1.2,"{'PO PO-4583-3 modified, unitcost readjusted UserName: umarhussain1996@icloud.com': 1, 'Imported from file': 1}",0.0
AMD-A8-7670K,Default,0.0,-0.6,"{'PO PO-4583-3 modified, unitcost readjusted UserName: umarhussain1996@icloud.com': 1, 'Imported from file': 1}",0.0
AMD-Athlon-II-X2-B26,Default,0.0,0.4,"{'PO PO-4583-3 modified, unitcost readjusted UserName: umarhussain1996@icloud.com': 1, 'Imported from file': 1}",0.0
AMD-Ryzen-3-Pro-2200GE,Default,0.0,-0.6,"{'PO PO-4579-2 modified, unitcost readjusted UserName: umarhussain1996@icloud.com': 1, 'Imported from file': 1}",0.0
AMD-Ryzen-5-4655G,China-Shenzhen Office-450,0.0,-9.094947017729282e-13,"{'PO PO-4775 to OPEN. Due 50 UserName: 1273297632@qq.com': 1, 'PO PO-4775 delivered 50 1273297632@qq.com': 1, 'Added to transfer WT54226052025024209. Username : 1273297632@qq.com': 1}",0.0
AMD-Ryzen-5-4655G,Default,0.0,-4.547473508864641e-13,"{'Adjust Stock Item Due Level Username : 1273297632@qq.com': 1, 'Stock received from transfer WT54226052025024209. Username : arturas@drmem.com': 1, 'Adjust Stock Item Due Level Username : arturas@drmem.com': 1, 'SCRAPPED BY arturas@drmem.com': 1, 'Imported from file': 1}",0.0
Alcohol bottles,Sharjah Warehouse1,0.0,-1.7763568394002505e-15,"{'Adjust Stock Item Due Level Username : devananda@drmem.com': 1, 'Stock received from transfer WT74930042025045458. Username : devananda@drmem.com': 1, 'Imported from file': 1, 'SCRAPPED BY pradeep@drmem.com': 1}",0.0
BZX830G6,China-Shenzhen Office-450,0.0,2.842170943040401e-14,"{'DIRECT ADJUSTMENT BY 1273297632@qq.com': 1, 'PO PO-XUM-150525 delivered 30 1273297632@qq.com': 1, 'Added to transfer WT38720052025082527. Username : 1273297632@qq.com': 1}",0.0
C1+H510+I510400F+32GB+40608G+1T+512G,Gaming PC & Laptops,58.0,0.0,{'Import Stock Item Composition': 1},0.0
C1+H610M+I712700+32GB+32GB+4070S12+1TB,Gaming PC & Laptops,4.0,0.0,{'Import Stock Item Composition': 1},0.0
C2+H510+I510400F+32GB+306012G+1T+512G,Gaming PC & Laptops,786.0,0.0,{'Import Stock Item Composition': 2},0.0
C2+H610M+I712700+32GB+32GB+4070S12+1TB,Gaming PC & Laptops,4.0,0.0,{'Import Stock Item Composition': 1},0.0
C3+H610M+I712700+32GB+32GB+4070S12+1TB,Gaming PC & Laptops,4.0,0.0,{'Import Stock Item Composition': 1},0.0
C4+H610M+I712700+32GB+32GB+4070S12+1TB,Gaming PC & Laptops,4.0,0.0,{'Import Stock Item Composition': 1},0.0
C5+AM4+R5-5500+32GB+40608G+1T+512G,Gaming PC & Laptops,24.0,0.0,{'Import Stock Item Composition': 1},0.0
C5+H510+I510400F+32GB+40608G+1T+512G,Gaming PC & Laptops,24.0,0.0,{'Import Stock Item Composition': 1},0.0
C5+H610M+I712700+32GB+32GB+4070S12+1TB,Gaming PC & Laptops,4.0,0.0,{'Import Stock Item Composition': 1},0.0
C9+H610M+I712700+32GB+32GB+4070S12+1TB,Gaming PC & Laptops,4.0,0.0,{'Import Stock Item Composition': 1},0.0
CSE-847-X9DRD-7LN4F-SPEC3,Default,-10.0,0.0,{'SCRAPPED BY kris@drmem.com': 1},-0.0
CSE-847-X9DRD-7LN4F-SPEC4,Default,-22.0,0.0,{'SCRAPPED BY kris@drmem.com': 1},-0.0
CSE-847-X9DRD-7LN4F-SPEC5,Default,-6.0,0.0,{'SCRAPPED BY kris@drmem.com': 1},-0.0
Celeron-G4900T,Default,0.0,-0.6,"{'PO PO-4579-2 modified, unitcost readjusted UserName: umarhussain1996@icloud.com': 1}",0.0
Core-E4400,Default,0.0,-0.8,"{'PO PO-4583-3 modified, unitcost readjusted UserName: umarhussain1996@icloud.com': 1, 'Imported from file': 1}",0.0
Core-E6550,Default,0.0,-0.6,"{'PO PO-4579-2 modified, unitcost readjusted UserName: umarhussain1996@icloud.com': 1, 'Imported from file': 1}",0.0
Core-E6750,Default,0.0,-0.8,"{'PO PO-4583-3 modified, unitcost readjusted UserName: umarhussain1996@icloud.com': 1, 'Imported from file': 1}",0.0
Core-E7500,Default,0.0,-16.4,"{'PO PO-4583-3 modified, unitcost readjusted UserName: umarhussain1996@icloud.com': 1, 'Imported from file': 1, 'PO PO-4579-2 modified, unitcost readjusted UserName: umarhussain1996@icloud.com': 1}",0.0
Core-E7600,Default,0.0,-0.6,"{'PO PO-4579-2 modified, unitcost readjusted UserName: umarhussain1996@icloud.com': 1}",0.0
Core-E8600,Default,0.0,-0.8,"{'PO PO-4583-3 modified, unitcost readjusted UserName: umarhussain1996@icloud.com': 1, 'Imported from file': 1}",0.0
Core-Q8200,Default,0.0,-0.8,"{'PO PO-4583-3 modified, unitcost readjusted UserName: umarhussain1996@icloud.com': 1, 'Imported from file': 1}",0.0
DPD-UK,Default,-40.0,0.0,"{'Order 580212 ref: D1505251847': 1, 'Order 580315 ref: D1605253633': 1, 'Order 580317 ref: D1405251927': 1, 'Order 580146 ref: D1405251927': 1, 'Order 580583 ref: D2005250125': 1, 'Order 580658 ref: D2105252325': 1, 'Order 580659 ref: D2105252732': 1, 'Order 580729 ref: D2205252646': 1, 'Order 580667 ref: D2105251642': 1, 'Order 580644 ref: D2105250840': 1, 'Order 580662 ref: D2105255029': 1, 'Order 580749 ref: D2205254621': 1, 'Order 580748 ref: D2205255632': 1, 'Order 579788 ref: D0905253152': 1, 'Order 580806 ref: D2305254035': 1, 'Order 580737 ref: D2205252758': 1, 'Order 581114 ref: D2705251724': 1, 'Order 581198 ref: D0805250126': 1, 'Order 581197 ref: D2805251253': 1, 'Order 581317 ref: D2905253324': 1}",-0.0
DX4GDDR3-UF,Sharjah,-352.0,0.0,{'SCRAPPED BY office@drmem.com': 1},-0.0
DX8GDDR3LU1600,Default,0.0,0.005000000000003446,"{'PO PO-XUM-080525 delivered 2 alfred@drmem.com': 4, 'PO PO-XUM-080525 purchase item line update UserName: alfred@drmem.com': 4, 'PO PO-XUM-080525, new item added to PO UserName: alfred@drmem.com': 2, 'Imported from file': 2, 'PO PO-XUM-080525 delivered 1 alfred@drmem.com': 1, 'Order 580522 ref: 25-13077-44612': 1, 'Order 580273 ref: 11-13081-28421': 1, 'Order 580788 ref: 24-13106-80829': 1, 'Order 580719 ref: 10-13107-11510': 1, 'PO PO-XUM-080525 delivered 6 alfred@drmem.com': 1, 'Order 580912 ref: 27-13095-36548': 1, 'Order 581012 ref: 11-13121-19248': 1, 'Order 581096 ref: 14-13121-40630': 1}",0.0
E5-2620 v3-Composition,Default,44.0,0.0,"{'OPENING STOCK': 1, 'PO CPU for Composition to OPEN. Due 22 UserName: kris@drmem.com': 1, 'PO CPU for Composition delivered 22 kris@drmem.com': 1}",0.0
E5-2620 v4-Coposition,Default,8.0,0.0,"{'OPENING STOCK': 1, 'PO CPU for Composition to OPEN. Due 4 UserName: kris@drmem.com': 1, 'PO CPU for Composition delivered 4 kris@drmem.com': 1}",0.0
