ItemNumber,Location,FinalStockLevel,FinalStockValue,PurchasePrice
006VJ7,Default,0.0,0.0,0.0
006VJ7-LH,Default,7.0,46.22,6.602857142857142
00AE914,Default,0.0,-3.469446951953614e-18,0.01
00AJ090,Default,1.0,1.0,1.0
00AJ150,Default,4.0,4.0,1.0
00AR400,Default,3.0,33.0,11.0
00JY855-LP,Default,1.0,0.01,0.01
00RX892-HP,Default,0.0,0.0,0.01
00WG701,Default,2.0,6.0,3.0
012GYY,Default,1.0,4.0,4.0
01DC192,Default,4.0,8.0,2.0
01M0D-NPE,Default,0.0,0.0,3.0
01MVTT,Default,1.0,3.0,3.0
01-SB16105-XX00C002,Default,72.0,0.72,0.01
01-SB16105-XX00C002-4pcs,Default,18.0,0.0,0.04
03T8759-HP,Default,3.0,2.56,0.8533333333333334
06F-97D-1AC,Default,20.0,0.2,0.01
07GVN-CO,Default,7.0,70.0,10.0
0B26011,Default,1.0,5.0,5.0
0B26312,Default,2.0,1.0,0.5
0B26925,Default,1.0,0.5,0.5
0B27416 50-60%,Default,2.0,1.6,0.8
0B32072 80-90%,Default,3.0,5.4,1.8
0B32110,Default,1.0,4.0,4.0
0B32110 70-80%,Default,1.0,2.0,2.0
0B32110 80-90%,Default,8.0,25.6,3.2
0B32112,Default,4.0,16.51,4.1275
0B32112-F,Default,1.0,0.83,0.83
0B32172,Default,0.0,0.0,0.0
0B32174,Default,4.0,0.0,0.0
0B32206,Default,2.0,32.0,16.0
0B35075-HUSMM3280ASS204,Default,15.0,90.0,6.0
0F27001,Default,4.0,2.0,0.5
0F27396,Default,1.0,5.0,5.0
0FCGN-HP,Default,0.0,0.0,0.009508
0JR1HP,Default,1.0,38.4,38.4
0T4M4,Default,2.0,1.29,0.645
0WRRF-NPE,Default,0.0,0.0,3.0
0XYT17,Default,0.0,0.0,0.0
100-652-065,Default,0.0,0.0,25.0
100-652-066,Default,3.0,60.0,20.0
100-A3D-2C9,Default,0.0,0.0,0.0
10-2144-01,Default,0.0,0.0,0.0
10-2566-02,Default,16.0,1.6,0.1
1030G2-UF,Default,0.0,0.0,184.75
1030G2-UF,Sharjah Warehouse1,44.0,8129.0,184.75
1030G3-UF,Default,5.0,862.93,172.58599999999998
1030G3-UF,Sharjah Warehouse1,15.0,2580.76,172.05066666666667
1030G3-UF,Gaming PC & Laptops,0.0,0.0,0.0
1030G4-UF,Default,0.0,0.0,171.84
1030G4-UF,Sharjah Warehouse1,2.0,343.68,171.84
1040g3-UF,Default,0.0,0.0,71.185
1040g3-UF,Sharjah Warehouse1,3.0,213.56,71.18666666666667
1040g6-UF,Default,0.0,0.0,172.1919
1040G7-UF,Default,0.0,0.0,0.0
1040G8-UF,Default,0.0,0.0,0.0
105-575-014-00,Default,8.0,0.08,0.01
105-575-015-00,Default,16.0,0.16,0.01
10N16,Default,0.0,0.0,0.0
"10TB 3.5"" SATA HDD",Default,0.0,0.0,45.0
11.1x7.5 Modification Tray,Default,0.0,0.0,0.0
11.1x7.5 Modification Tray,UK-Reballing,2.0,0.0,0.0
11.1x9.0 Modification Tray,Default,0.0,0.0,0.0
11.1x9.0 Modification Tray,UK-Reballing,2.0,0.0,0.0
11.1x9.4 Modification Tray,Default,0.0,0.0,0.0
11.1x9.4 Modification Tray,UK-Reballing,2.0,0.0,0.0
111-01287+B1,Default,0.0,0.0,9.5
118000213-02,Default,6.0,0.0,0.1
120GBMSATA,Default,0.0,0.0,4.0
128GBMSATA,Default,0.0,0.0,1.631567453
13.0x8.0 Modification Tray,Default,0.0,0.0,0.0
13.0x8.0 Modification Tray,UK-Reballing,2.0,0.0,0.0
13-7306-UF,Default,0.0,0.0,0.0
13C-9E5-085,Default,0.0,0.0,0.0
165T0,Default,1.0,0.15,0.15
16GB-2Rx4-PC4-2133P-R,Default,0.0,0.0,8.523696
16GB-2Rx4-PC4-2400T-R-HP-809081-081,Default,80.0,545.52,6.819
16GBMSATA,Default,0.0,0.0,0.05
16GB-PC4-2Rx4-R-ECC,Default,48.0,162.89739130434788,3.3936956521739132
1FE200-031 - ST900MM0168,Default,3.0,2.55,0.85
1FF200-175,Default,15.0,20.2125,1.3475
1FF201-002,Default,15.0,44.7,2.98
1FF202-031,Default,2.0,5.38,2.69
1NFN7-CO,Default,0.0,0.0,30.0
1P8D1-HP,Default,1.0,0.01,0.01
1T8KW,Default,0.0,0.0,3.0
1T8KW-EQ,Default,3.0,9.0,3.0
1TBHDD,Default,0.0,0.0,8.27176994
1TBHDD,Gaming PC & Laptops,66.0,649.9896215280353,9.848327598909636
1TBHDD,UK Shop,5.0,44.89,8.978
